wono	ComponentName	UnitDescription	Age	LastActivity	ActualLabHour	TargetLabour	
6715998	Bevel Gear	Cat 777D	24	Waiting Part	23	45	
6716036	Bevel Gear	Cat 777D	24	Waiting Part	14	21	
6716042	Final Drive	Cat 777D	24	Waiting Part	34	54	
6716049	Final Drive	Cat 777D	24	Waiting Part	17	39	
6716059	Final Drive	Cat 777D	24	Waiting Part	17	27	
6716071	Torque Convertor	Cat 785C	24	Waiting Part	32	68	
6716093	Convertor Scav Pump	Cat 785C	24	Waiting Part	9	22	
6716114	Torque Convertor	Cat 785C	24	Waiting Part	31	68	
6716129	Convertor Scav Pump	Cat 785C	24	Waiting Part	8	22	
6716144	Wheel Bearing	Cat 777D	24	Waiting Execution			
6716189	Wheel Bearing	Cat 777D	24	Waiting Execution			
6716195	Wheel Bearing	Cat 777D	24	Waiting Execution			
6716203	Pump Drive Box	Cat 777D	24	Waiting Part	13	26	
6716206	Transmission	Cat D8R	24	Waiting Submit Part	59.5	125	
6716212	Pump Drive Box	Cat 777D	24	Waiting MPI	11	26	
6716214	Transmission	Cat D8R	24	Waiting Part	57	125	
6716220	Pump Drive Box	Cat 777D	24	Waiting MPI	11.5	26	
6716224	Pump Drive Box	Cat 785C	24	Waiting Part	9	19	
6716227	Final Drive	Cat 745	24	Waiting Part	30.5	68	
6718132	Cylinder Head Grp	Cat C18, 591kVA	22	Waiting Execution			
6718310	Engine	Cat D10T	22	Waiting Execution			
6719705	Transmission	Cat 777D	21	Waiting Part	86	160	
6719731	Transmission	Cat 777D	21	Waiting Execution		160	
6719739	Torque Convertor	Cat 777D	21	Waiting Submit Part	31.5	68	
6719743	Convertor Scav Pump	Cat 777D	21	Waiting Part	8.5	26.5	
6719752	Torque Convertor	Cat 777D	21	Waiting Part	31	68	
6719756	Convertor Scav Pump	Cat 777D	21	Waiting Part	8.5	26.5	
6719759	Torque Convertor	Cat 777D	21	Waiting Part	31	68	
6719763	Convertor Scav Pump	Cat 777D	21	Waiting Part	10	26.5	
6719765	Transmission	Cat 777D	21	Waiting Submit Part	87	160	
6719792	Wheel Bearing	Cat 777D	21	Waiting Part	26	41	
6719805	Wheel Bearing	Cat 777D	21	Waiting Part	10	21	
6719824	Wheel Bearing	Cat 777D	21	Waiting Part	26	41	
6719828	Wheel Bearing	Cat 777D	21	Waiting Part	10	21	
6720728	Torque Convertor	Cat 777D	20	Waiting Part	28.5		
6720742	Convertor Scav Pump	Cat 777D	20	Waiting Part	8.5	26.5	
6720755	Transmission	Cat D10T	20	Tear Down	6		
6720791	Transfer Case	Cat 745	20	Waiting Execution		127	
